Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,198.0,198.0,194.5,195.0,146.57826232910156,1756233
2020-01-03,196.5,197.0,190.0,193.0,145.0749053955078,2264814
2020-01-06,191.0,192.0,189.5,190.0,142.81983947753906,1404138
2020-01-07,190.0,191.5,187.0,189.0,142.0681610107422,1275752
2020-01-08,188.0,191.5,187.5,188.0,141.3164825439453,920293
2020-01-09,189.5,193.0,189.0,193.0,145.0749053955078,1387259
2020-01-10,193.0,194.0,189.5,190.0,142.81983947753906,1193602
2020-01-13,191.0,195.0,191.0,194.5,146.20242309570312,1807535
2020-01-14,195.0,202.0,195.0,200.5,150.7125244140625,4247666
2020-01-15,199.5,201.5,198.0,201.0,151.08836364746094,1663539
2020-01-16,201.0,201.0,197.0,200.0,150.33668518066406,918577
2020-01-17,203.0,203.5,199.0,199.0,149.5850067138672,1261601
2020-01-20,200.0,200.0,197.5,198.0,148.83331298828125,699204
2020-01-30,181.0,191.0,181.0,184.5,138.6855926513672,3334276
2020-01-31,188.0,190.0,185.0,188.0,141.3164825439453,1397681
2020-02-03,182.5,185.5,181.0,184.5,138.6855926513672,1695370
2020-02-04,183.5,187.5,182.5,187.5,140.94064331054688,1546128
2020-02-05,188.0,189.0,185.5,188.0,141.3164825439453,1212840
2020-02-06,189.0,191.5,188.0,190.0,142.81983947753906,875594
2020-02-07,188.5,188.5,185.5,185.5,139.43727111816406,828658
2020-02-10,183.5,185.0,181.0,183.0,137.55807495117188,816874
2020-02-11,185.0,189.0,184.5,188.0,141.3164825439453,989164
2020-02-12,189.0,191.0,188.5,189.0,142.0681610107422,1254705
2020-02-13,190.0,190.5,186.5,186.5,140.18894958496094,883035
2020-02-14,186.0,189.0,186.0,188.0,141.3164825439453,743373
2020-02-17,186.0,187.0,185.0,186.0,139.8131103515625,662090
2020-02-18,186.0,187.5,184.5,185.0,139.06143188476562,782983
2020-02-19,185.0,186.5,184.5,184.5,138.6855926513672,659607
2020-02-20,185.5,189.5,184.5,189.5,142.4440155029297,1653671
2020-02-21,191.0,191.0,187.0,188.0,141.3164825439453,1337020
2020-02-24,186.0,186.5,185.5,185.5,139.43727111816406,570671
2020-02-25,183.0,185.5,182.5,185.0,139.06143188476562,807082
2020-02-26,184.5,185.0,183.5,184.0,138.30975341796875,683766
2020-02-27,185.0,185.5,183.0,183.5,137.93389892578125,849876
2020-03-02,181.0,183.0,177.5,179.5,134.92718505859375,2007347
2020-03-03,182.5,188.0,181.0,186.5,140.18894958496094,2291404
2020-03-04,185.5,186.5,184.5,185.5,139.43727111816406,631754
2020-03-05,188.5,189.0,186.0,186.5,140.18894958496094,497936
2020-03-06,185.0,186.0,184.0,185.5,139.43727111816406,450553
2020-03-09,183.5,184.5,179.5,179.5,134.92718505859375,1777451
2020-03-10,176.0,177.5,173.5,175.5,131.92044067382812,2820819
2020-03-11,180.0,181.5,175.5,177.0,133.0479736328125,1739143
2020-03-12,173.5,174.0,166.0,168.0,126.2828140258789,2843388
2020-03-13,157.5,160.0,151.5,158.5,119.14181518554688,4970345
2020-03-16,160.0,162.0,152.0,152.0,114.25588989257812,2351065
2020-03-17,142.0,153.0,142.0,147.0,110.49747467041016,2161817
2020-03-18,150.0,151.0,145.0,145.0,108.99409484863281,2031207
2020-03-19,141.0,142.0,130.5,131.5,98.84636688232422,3436105
2020-03-20,137.0,144.5,137.0,142.0,106.73905181884766,2372320
2020-03-23,136.5,140.0,133.0,138.5,104.10816192626953,1082649
